,PSZ2 Indx,Name,RA,DEC,RA_SEX,DEC_SEX,SDSS Footprint,SkyServer,SDSS Catalog,SNR,PSZ1,Redshift,Semester,Val,PCCS2,PSZ1 Name,Optical run1,Optical run2,IR run1,Optical Bands,Optical Status,IR Status,Observable,ROSAT,RASS rate,RASS S/N,New RASS rate,New RASS S/N,PSZ1 Index,PSZ2 Index,New S/N,Old S/N
312,647,PSZ2_G131.19+14.48,45.86754017,75.19959566,3:03:28,+75:11:58.54,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=45.867540&dec=75.199596&opt=S,MADE,4.7951,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0002,0.05,,,,
313,1062,PSZ2_G233.46+25.46,134.80228730000002,-4.922281327,8:59:13,-4:55:20,False,,,4.7935,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,-0.0045,-1.53,,,,
314,11,PSZ2_G003.21-76.04,358.3512149,-33.29324445,23:53:24,-33:17:36,False,,,4.7895,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0279,2.56,,,,
315,754,PSZ2_G156.24+22.32,101.23488459999999,59.45095388,6:44:56,+59:27:03.43,False,,,4.7885,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0146,1.3,,,,
316,155,PSZ2_G042.54+18.02,270.6433998,16.40139534,18:02:34,+16:24:05.02,False,,,4.7879,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0022,0.31,,,,
317,1291,PSZ2_G278.56+10.74,157.6282333,-45.35030692,10:30:31,-45:21:01,False,,,4.7861,-1,-1,,-1,F,,,,,,unknown,unknown,False,,,,0.0201,2.27,,,,
318,116,PSZ2_G032.77+19.69,265.1224844,8.711237937,17:40:29,+08:42:40.45,False,,,4.7847,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0408,3.55,,,,
319,1149,PSZ2_G251.55-42.78,68.25333538,-45.83952086,4:33:01,-45:50:22,False,,,4.7843,-1,-1,,-1,F,,,,,,unknown,unknown,False,,,,0.0311,4.13,,,,
320,780,PSZ2_G163.89+11.55,88.94520864,48.57049272,5:55:47,+48:34:13.77,False,,,4.782,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,0.002,0.37,,,,
321,380,PSZ2_G086.07-41.99,345.6385062,12.95227539,23:02:33,+12:57:08.19,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=345.638506&dec=12.952275&opt=S,MADE,4.781000000000001,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,-0.0033,-1.46,,,,
322,248,PSZ2_G059.52+16.23,279.33934139999997,30.6641929,18:37:21,+30:39:51.09,False,,,4.7797,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0285,3.45,,,,
323,1381,PSZ2_G293.35-10.50,162.5448764,-71.08979322,10:50:11,-71:05:23,False,,,4.7797,-1,-1,,-1,T,,,,,,unknown,unknown,False,,,,0.0109,1.13,,,,
324,925,PSZ2_G204.91-69.71,34.69221556,-22.62249574,2:18:46,-22:37:21,False,,,4.7742,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0005,0.09,,,,
325,412,PSZ2_G091.56+08.50,309.0663098,54.98356235,20:36:16,+54:59:00.82,False,,,4.7736,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0449,6.31,,,,
326,1389,PSZ2_G294.45-13.94,160.1930199,-74.62492113,10:40:46,-74:37:30,False,,,4.7735,-1,-1,,-1,T,,,,,,unknown,unknown,False,,,,0.0006,0.17,,,,
327,61,PSZ2_G018.92-33.64,309.27813169999996,-25.59298294,20:37:07,-25:35:35,False,,,4.7718,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.027000000000000003,2.45,,,,
328,1505,PSZ2_G319.16+26.63,210.4068892,-34.01090184,14:01:38,-34:00:39,False,,,4.7691,-1,-1,,-1,F,,,,,,unknown,unknown,False,,,,-0.0135,-2.24,,,,
329,797,PSZ2_G166.56-17.69,61.19432921,28.36060046,4:04:47,+28:21:38.16,False,,,4.7632,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,-0.0056,-1.3,,,,
330,1331,PSZ2_G285.85-46.36,43.41120021,-66.50619708,2:53:39,-66:30:22,False,,,4.7599,-1,-1,,-1,F,,,,,,unknown,unknown,False,,,,-0.0017,-0.32,,,,
331,616,PSZ2_G125.41+27.95,123.99609939999999,87.64659432,8:15:59,+87:38:47.73,False,,,4.7591,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,-0.0006,-0.2,,,,
332,970,PSZ2_G215.25-87.14,16.06482782,-27.20748987,1:04:16,-27:12:27,False,,,4.7584,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,0.0013,0.24,,,,
333,209,PSZ2_G052.08+46.13,243.4439272,32.08138202,16:13:47,+32:04:52.97,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=243.443927&dec=32.081382&opt=S,MADE,4.7572,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,-0.003,-1.08,,,,
334,812,PSZ2_G171.48+16.17,99.52136576,43.84945441,6:38:05,+43:50:58.03,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=99.521366&dec=43.849454&opt=S,MADE,4.7548,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,-0.0042,-1.32,,,,
335,636,PSZ2_G128.15-24.71,18.87684592,37.91346082,1:15:30,+37:54:48.45,False,,,4.7484,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,0.0009,0.19,,,,
336,757,PSZ2_G157.07-33.63,42.92578609,21.1472335,2:51:42,+21:08:50.04,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=42.925786&dec=21.147233&opt=S,MADE,4.7479,549,-1,,-1,F,PSZ1_G157.07-33.66,,,,,unknown,unknown,True,,-0.0034,-1.62,0.0026,0.61,549.0,757.0,4.748,4.898
337,1652,PSZ2_G359.60-08.72,275.0918356,-33.53171678,18:20:22,-33:31:54,False,,,4.7403,-1,-1,,-1,F,,,,,,unknown,unknown,False,,,,-0.0005,-0.03,,,,
338,454,PSZ2_G097.37-17.11,340.6788968,39.28211537,22:42:43,+39:16:55.61,False,,,4.7398,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,0.0088,1.6,,,,
