Label,Target1,RA,Dec,RA_SEX,DEC_SEX,,,TOTAL Exp Time [ksec]6,Estimated XRT Count Rate7,Magnitude Of Brightest Object In FOV8,Comment11,PSZ2 ID#,Target ID,Number of Segments Observed,AFST time (s),Exposure time (s),Extended X-rays?,Opt/IR data?,Reobserve in Cycle 13,N_H (10^{22} atoms cm^-2),Swift XRT flux (0.1-2.4 keV),Frac flux error,RA (Swift XRT),Dec (Swift XRT),Optical/IR counterpart (BCG),Optical/IR mag,Optical/IR band,Redshift,Radio flux (mJy),Radio freq/survey,SALT,SALT Redshift
3,PSZ1_G135.68+45.61,167.4545833,68.91233333,11:09:49,+68:54:44.40,,,3,0.011,B=8.821, Jack Hughes - S/N=4.577,-999.1,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G148.20+23.49,99.43958333,66.90677778,6:37:46,+66:54:24.40,,,3,0.013,B=9.039, Jack Hughes - S/N=8.405,-999.2,85606,4,2850,2772,No,Opt+IR,,,,,, ,,,,-1,,,,
3,PSZ1_G158.34-47.49,36.20291667,8.849416667,2:24:49,+08:50:57.90,,,3,0.027,B=9.501, Jack Hughes - S/N=4.632,762,85607,3,2335,2268,Yes,,n,0.0621,6.46E-13,0.17,02 24 58.2,+08 50 00,2MASX J02245618+0849491 ,,,0.305,,,,
3,PSZ1_G167.43-38.04,47.31791667,12.64408333,3:09:16,+12:38:38.70,,,3,0.011,B=8.15, Jack Hughes - S/N=6.107,800,85608,3,4155,4081,No,,,,,,, ,,,,-1,,,,
3,PSZ1_G194.70-58.93,43.24458333,-14.29858333,2:52:59,-14:17:55,,,3,0.017,B=10.249, Jack Hughes - S/N=4.622,-999.1,85609,1,2700,2670,No,,,,,,, ,,,,-1,,,,
3,PSZ1_G206.45+13.89,112.4966667,11.93961111,7:29:59,+11:56:22.60,,,3,0.058,B=5.826, Jack Hughes - S/N=5.896,933,85610,4,4720,4663,Yes (4-XMM),Opt+IR,,0.0584,1.67E-12,0.058,, ,,,,0.381,,,,
3,PSZ1_G212.63+07.45,109.36625,3.650222222,7:17:28,+03:39:00.80,,,3,0.012,B=9.37, Jack Hughes - S/N=4.721,-999.2,85611,3,3045,3002,No,,,,,,, ,,,,-1,,,,
3,PSZ1_G218.54+13.26,117.2008333,1.137472222,7:48:48,+01:08:14.90,,,3,0.032,B=9.55, Jack Hughes - S/N=5.245,981,85612,2,2550,2507,Yes (4-XMM),Opt,,0.0578,3.07E-13,0.21,07 48 51,+01 06 41,2MASX J07485166+0106402,,,0.327,,,2014-2,MOS
3,PSZ1_G218.69-72.78,32.24666667,-27.51719444,2:08:59,-27:31:02,,,3,0.033,B=7.5, Jack Hughes - S/N=4.562,-999.1,85613,4,3245,2645,Yes,,,,,,, ,,,,-1,,,2015-1,0.315
3,PSZ1_G221.37-29.89,78.65208333,-19.91230556,5:14:37,-19:54:44,,,3,0.026,B=9.52, Jack Hughes - S/N=4.516,-999.1,85614,2,2908,2783,Yes,,,0.0313,8.65E-13,0.11,05 14 45, -19 51 53,2MASX J05144512-1951474,12.6,Ks,-1,7.6 +/- 0.5,1.4GHz/NVSS,2015-1,0.14
3,PSZ1_G221.64-58.20,48.73791667,-27.29525,3:14:57,-27:17:43,,,3,0.022,B=9.911, Jack Hughes - S/N=5.023,-999.1,85615,3,5955,5846,Yes,Opt,,0.0152,2.77E-13,0.13,03 15 01,-27 18 14,,,,-1,,,2015-1,0.655
